125090;Annamaria De Feo;0;Aquile Reali;Blu e Oro;Reali del Cielo
125091;Nello Loreto;0;Cavalieri d'Argento;Argento e Blu;
125092;Giovanna Palmizio;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125093;Michela Collina;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
125094;Mauro Maria Piccioni;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125095;Aventino Ripamonti;0;Delfini Argentati;Argento e Nero;Onde Argentate
125096;Rosa Angela Miglio;0;Cavalieri d'Argento;Argento e Blu;
125097;Dieter Stabile;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125098;Rosetta Enza Trentacoste;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125099;Maria Grazia Fazzone;0;Delfini Argentati;Argento e Nero;Onde Argentate
125100;Amintore Zuccherini;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125101;Paola Pacifico;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125102;Ersilia Sinisi;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125103;Antonio Gianfranco De Santis;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
125104;Patrizia Rotondi;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125105;Angelo Wilde;0;Delfini Argentati;Argento e Nero;Onde Argentate
125106;Nitto Francesco Chiusoli;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125107;Angelo Ronchi;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125108;Alfredo Fede;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125109;Antonio Gianfranco Centaro;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125110;Fulvia Michela D'urso;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125111;Bartolomeo Battisti;0;Gatti Neri;Nero e Viola;
125112;Lucio Unterberger;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125113;Giovanbattista Chirilli;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
125114;Erika Saltamartini;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125115;Augusto Chiaromonte;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125116;Camilla Piccinelli;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125117;Carlo Azeglio Parrini;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125118;Raffaella Fiormaria Maninetti;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125119;Giuliomaria Pesco;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125120;Gavino Caligiuri;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125121;Liborio Caddeo;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125122;Urania Giulia Rosina Anitori;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125123;Orfeo Pucciarelli;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125124;Anna Maria Verini;0;Cavalieri d'Argento;Argento e Blu;
125125;Anna Rita Nocco;0;Orsi Polari;Bianco e Blu;
125126;Ricardo Antonio Turco;0;Delfini Argentati;Argento e Nero;Onde Argentate
125127;Silvestro Vaccari;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125128;Olimpia Robol;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125129;Maurizio Caliendo;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
125130;Nerina Floridia;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
125131;Gelsomina Fuda;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125132;Daniele Fluttero;0;Cavalieri d'Argento;Argento e Blu;
125133;Flavio Negri;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
125134;Luis Alberto Boccia;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125135;Gabriele Garavini;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125136;Guido Lanzi;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125137;Mariapia Del Roio;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125138;Salvatore Tito Follini;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125139;Aleandro De Falco;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125140;Daniela Rauti;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125141;Guglielmo Chincarini;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125142;Giulia Mininno;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125143;Daisy Sbarbati;0;Pinguini Polari;Bianco e Nero;
125144;Carmela Ziccone;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125145;Maria Ida Falomi;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125146;Primo Kofler;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
