110090;Annamaria De Feo;0;Aquile Reali;Blu e Oro;Reali del Cielo
110091;Nello Loreto;0;Cavalieri d'Argento;Argento e Blu;
110092;Giovanna Palmizio;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110093;Michela Collina;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
110094;Mauro Maria Piccioni;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110095;Aventino Ripamonti;0;Delfini Argentati;Argento e Nero;Onde Argentate
110096;Rosa Angela Miglio;0;Cavalieri d'Argento;Argento e Blu;
110097;Dieter Stabile;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110098;Rosetta Enza Trentacoste;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110099;Maria Grazia Fazzone;0;Delfini Argentati;Argento e Nero;Onde Argentate
110100;Amintore Zuccherini;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110101;Paola Pacifico;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110102;Ersilia Sinisi;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110103;Antonio Gianfranco De Santis;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
110104;Patrizia Rotondi;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110105;Angelo Wilde;0;Delfini Argentati;Argento e Nero;Onde Argentate
110106;Nitto Francesco Chiusoli;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110107;Angelo Ronchi;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110108;Alfredo Fede;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110109;Antonio Gianfranco Centaro;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110110;Fulvia Michela D'urso;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110111;Bartolomeo Battisti;0;Gatti Neri;Nero e Viola;
110112;Lucio Unterberger;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110113;Giovanbattista Chirilli;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
110114;Erika Saltamartini;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110115;Augusto Chiaromonte;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110116;Camilla Piccinelli;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110117;Carlo Azeglio Parrini;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110118;Raffaella Fiormaria Maninetti;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110119;Giuliomaria Pesco;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110120;Gavino Caligiuri;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110121;Liborio Caddeo;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110122;Urania Giulia Rosina Anitori;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110123;Orfeo Pucciarelli;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110124;Anna Maria Verini;0;Cavalieri d'Argento;Argento e Blu;
110125;Anna Rita Nocco;0;Orsi Polari;Bianco e Blu;
110126;Ricardo Antonio Turco;0;Delfini Argentati;Argento e Nero;Onde Argentate
110127;Silvestro Vaccari;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110128;Olimpia Robol;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110129;Maurizio Caliendo;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
110130;Nerina Floridia;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
110131;Gelsomina Fuda;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110132;Daniele Fluttero;0;Cavalieri d'Argento;Argento e Blu;
110133;Flavio Negri;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
110134;Luis Alberto Boccia;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110135;Gabriele Garavini;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110136;Guido Lanzi;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110137;Mariapia Del Roio;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110138;Salvatore Tito Follini;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110139;Aleandro De Falco;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110140;Daniela Rauti;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110141;Guglielmo Chincarini;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110142;Giulia Mininno;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110143;Daisy Sbarbati;0;Pinguini Polari;Bianco e Nero;
110144;Carmela Ziccone;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110145;Maria Ida Falomi;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110146;Primo Kofler;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110147;Gregorio Salvi;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110148;Raffaella Fiormaria Spilabotte;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110149;Francesco Tabladini;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
110150;Michaela Piccinelli;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110151;Elia Tarolli;0;Pinguini Polari;Bianco e Nero;
110152;Adele Candiani;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
110153;Gustavo De Carlo;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110154;Rosaria Zanettin;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110155;Beatrice Pera;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110156;Silvia Del Barba;0;Cavalieri d'Argento;Argento e Blu;
110157;Raffaele Albano;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110158;Euprepio Cherchi;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110159;Guido Cesare Modena;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110160;Giovanni Vittorio Bucciero;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
110161;Maria Giuseppa Papini;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110162;Grazia Pardi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110163;Aleandro Jacchia;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110164;Vincenza Silvestri;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
110165;Maria Chiara Renzi;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110166;Gaspare Antonio Cossutta;0;Pavoni Reali;Oro e Viola;Ali Reali
110167;Francesco Antonio Martini;0;Orsi Polari;Bianco e Blu;
110168;Achille Matrisciano;0;Aquile Reali;Blu e Oro;Reali del Cielo
110169;Corradino Mineo;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110170;Euprepio Calderoli;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110171;Mauro Pisanu;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110172;Ivan Rojc;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110173;Luigi Franceschelli;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110174;Filomeno Biagio Capelli;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
110175;Ludovico Bonfrisco;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110176;Giulio Mario Binetti;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110177;Felicia Berlusconi;0;Pavoni Reali;Oro e Viola;Ali Reali
110178;Gianpiero Carlo Colucci;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110179;Filomeno Biagio Dondeynaz;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110180;William Gallicchio;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
